B [mm],L [mm],R1 [mm],Freq [GHz],"dB(S(1,1)) []"
16.0,15.5,5.6,7.15375,-3.92968741274102
16.0,15.5,5.6,7.1685,-4.11222137741713
16.0,15.5,5.6,7.18325,-4.30491259091431
16.0,15.5,5.6,7.198,-4.50797473184724
16.0,15.5,5.6,7.21275,-4.72154145535452
16.0,15.5,5.6,7.2275,-4.94564272366901
16.0,15.5,5.6,7.24225,-5.18017637403031
16.0,15.5,5.6,7.257,-5.42487426043956
16.0,15.5,5.6,7.27175,-5.67926238151707
16.0,15.5,5.6,7.2865,-5.94261461982718
16.0,15.5,5.6,7.30125,-6.21390015126943
16.0,15.5,5.6,7.316,-6.49172534819431
16.0,15.5,5.6,7.33075,-6.77427223338219
16.0,15.5,5.6,7.3455,-7.05923738529894
16.0,15.5,5.6,7.36025,-7.34377774409465
16.0,15.5,5.6,7.375,-7.62447297704194
16.0,15.5,5.6,7.38975,-7.89731759269729
16.0,15.5,5.6,7.4045,-8.15775902442572
16.0,15.5,5.6,7.41925,-8.40079898923344
16.0,15.5,5.6,7.434,-8.62117256704732
16.0,15.5,5.6,7.44875,-8.81361061903362
16.0,15.5,5.6,7.4635,-8.97317548446098
16.0,15.5,5.6,7.47825,-9.09563914523497
16.0,15.5,5.6,7.493,-9.17785268625333
16.0,15.5,5.6,7.50775,-9.21804417880331
16.0,15.5,5.6,7.5225,-9.2159866817161
16.0,15.5,5.6,7.53725,-9.17300104722763
16.0,15.5,5.6,7.552,-9.09179352771239
16.0,15.5,5.6,7.56675,-8.97616346421942
16.0,15.5,5.6,7.5815,-8.83063927088587
16.0,15.5,5.6,7.59625,-8.66010543589742
16.0,15.5,5.6,7.611,-8.46947152606867
16.0,15.5,5.6,7.62575,-8.2634138279996
16.0,15.5,5.6,7.6405,-8.04619954752029
16.0,15.5,5.6,7.65525,-7.82158786513873
16.0,15.5,5.6,7.67,-7.59279337449508
16.0,15.5,5.6,7.68475,-7.36249461747881
16.0,15.5,5.6,7.6995,-7.13287155111992
16.0,15.5,5.6,7.71425,-6.90565883799416
16.0,15.5,5.6,7.729,-6.68220539874536
16.0,15.5,5.6,7.74375,-6.46353388390846
16.0,15.5,5.6,7.7585,-6.25039627489226
16.0,15.5,5.6,7.77325,-6.04332366644569
16.0,15.5,5.6,7.788,-5.8426695117342
16.0,15.5,5.6,7.80275,-5.64864636852528
16.0,15.5,5.6,7.8175,-5.46135660810644
16.0,15.5,5.6,7.83225,-5.28081774987638
16.0,15.5,5.6,7.847,-5.10698314756198
16.0,15.5,5.6,7.86175,-4.93975873575265
16.0,15.5,5.6,7.8765,-4.77901648613927
16.0,15.5,5.6,7.89125,-4.62460514530828
16.0,15.5,5.6,7.906,-4.47635874444931
16.0,15.5,5.6,7.92075,-4.33410329353158
16.0,15.5,5.6,7.9355,-4.19766200229707
16.0,15.5,5.6,7.95025,-4.06685930917995
16.0,15.5,5.6,7.965,-3.94152394710871
16.0,15.5,5.6,7.97975,-3.82149123143489
16.0,15.5,5.6,7.9945,-3.70660471903292
16.0,15.5,5.6,8.00925,-3.59671735792834
16.0,15.5,5.6,8.024,-3.49169222263009
16.0,15.5,5.6,8.03875,-3.39140291077539
16.0,15.5,5.6,8.0535,-3.29573366099102
16.0,15.5,5.6,8.06825,-3.20457923933541
16.0,15.5,5.6,8.083,-3.11784463180052
16.0,15.5,5.6,8.09775,-3.03544457264728
16.0,15.5,5.6,8.1125,-2.95730293244446
16.0,15.5,5.6,8.12725,-2.88335198531555
16.0,15.5,5.6,8.142,-2.81353157175886
16.0,15.5,5.6,8.15675,-2.74778817133612
16.0,15.5,5.6,8.1715,-2.68607389830573
16.0,15.5,5.6,8.18625,-2.62834543277441
16.0,15.5,5.6,8.201,-2.57456289998443
16.0,15.5,5.6,8.21575,-2.52468871081934
16.0,15.5,5.6,8.2305,-2.47868637736985
16.0,15.5,5.6,8.24525,-2.43651931829185
16.0,15.5,5.6,8.26,-2.39814966962787
16.0,15.5,5.6,8.27475,-2.36353711757166
16.0,15.5,5.6,8.2895,-2.33263777025955
16.0,15.5,5.6,8.30425,-2.30540308593061
16.0,15.5,5.6,8.319,-2.28177887462499
16.0,15.5,5.6,8.33375,-2.26170438991001
16.0,15.5,5.6,8.3485,-2.24511152588285
16.0,15.5,5.6,8.36325,-2.23192413287026
16.0,15.5,5.6,8.378,-2.22205746283601
16.0,15.5,5.6,8.39275,-2.21541775255614
16.0,15.5,5.6,8.4075,-2.21190194919895
16.0,15.5,5.6,8.42225,-2.21139757913621
16.0,15.5,5.6,8.437,-2.2137827567471
16.0,15.5,5.6,8.45175,-2.2189263257681
16.0,15.5,5.6,8.4665,-2.22668812153687
16.0,15.5,5.6,8.48125,-2.23691933839875
16.0,15.5,5.6,8.496,-2.24946298270368
16.0,15.5,5.6,8.51075,-2.26415438830688
16.0,15.5,5.6,8.5255,-2.28082176835803
16.0,15.5,5.6,8.54025,-2.29928677442943
16.0,15.5,5.6,8.555,-2.31936503167195
16.0,15.5,5.6,8.56975,-2.34086661662096
16.0,15.5,5.6,8.5845,-2.36359644238082
16.0,15.5,5.6,8.59925,-2.38735451401868
16.0,15.5,5.6,8.614,-2.41193601488149
16.0,15.5,5.6,8.62875,-2.43713118193163
16.0,15.5,5.6,8.6435,-2.46272492475051
16.0,15.5,5.6,8.65825,-2.48849613819202
16.0,15.5,5.6,8.673,-2.51421665231135
16.0,15.5,5.6,8.68775,-2.53964975459027
16.0,15.5,5.6,8.7025,-2.56454820795415
16.0,15.5,5.6,8.71725,-2.58865167280084
16.0,15.5,5.6,8.732,-2.61168342122017
16.0,15.5,5.6,8.74675,-2.63334620549828
16.0,15.5,5.6,8.7615,-2.65331710928526
16.0,15.5,5.6,8.77625,-2.67124116644897
16.0,15.5,5.6,8.791,-2.68672347714418
16.0,15.5,5.6,8.80575,-2.69931947988118
16.0,15.5,5.6,8.8205,-2.70852294859735
16.0,15.5,5.6,8.83525,-2.71375117041342
16.0,15.5,5.6,8.85,-2.71432661779355
16.0,15.5,5.9,2.95,-0.301334608948571
16.0,15.5,5.9,2.96475,-0.306633951962756
16.0,15.5,5.9,2.9795,-0.312332221883201
16.0,15.5,5.9,2.99425,-0.318442372270758
16.0,15.5,5.9,3.009,-0.324978316842684
16.0,15.5,5.9,3.02375,-0.33195497495483
16.0,15.5,5.9,3.0385,-0.339388318899111
16.0,15.5,5.9,3.05325,-0.347295422823969
16.0,15.5,5.9,3.068,-0.355694513016329
16.0,15.5,5.9,3.08275,-0.364605019199324
16.0,15.5,5.9,3.0975,-0.374047626398238
16.0,15.5,5.9,3.11225,-0.384044326804567
16.0,15.5,5.9,3.127,-0.394618470921155
16.0,15.5,5.9,3.14175,-0.405794817095907
16.0,15.5,5.9,3.1565,-0.417599578343052
16.0,15.5,5.9,3.17125,-0.430060465103767
16.0,15.5,5.9,3.186,-0.443206722306559
16.0,15.5,5.9,3.20075,-0.457069158745299
16.0,15.5,5.9,3.2155,-0.471680166392419
16.0,15.5,5.9,3.23025,-0.487073726798579
16.0,15.5,5.9,3.245,-0.503285401190284
16.0,15.5,5.9,3.25975,-0.520352300255828
16.0,15.5,5.9,3.2745,-0.538313028899296
16.0,15.5,5.9,3.28925,-0.557207600436305
16.0,15.5,5.9,3.304,-0.577077313798407
16.0,15.5,5.9,3.31875,-0.597964586304021
16.0,15.5,5.9,3.3335,-0.619912733445373
16.0,15.5,5.9,3.34825,-0.642965685942308
16.0,15.5,5.9,3.363,-0.667167633044059
16.0,15.5,5.9,3.37775,-0.692562579750418
16.0,15.5,5.9,3.3925,-0.719193804322554
16.0,15.5,5.9,3.40725,-0.747103201231191
16.0,15.5,5.9,3.422,-0.77633049364375
16.0,15.5,5.9,3.43675,-0.8069122988152
16.0,15.5,5.9,3.4515,-0.83888102949263
16.0,15.5,5.9,3.46625,-0.872263614894374
16.0,15.5,5.9,3.481,-0.907080026256171
16.0,15.5,5.9,3.49575,-0.943341594684831
16.0,15.5,5.9,3.5105,-0.981049113514224
16.0,15.5,5.9,3.52525,-1.02019072395905
16.0,15.5,5.9,3.54,-1.06073959207614
16.0,15.5,5.9,3.55475,-1.10265139733264
16.0,15.5,5.9,3.5695,-1.14586166884526
16.0,15.5,5.9,3.58425,-1.19028302485264
16.0,15.5,5.9,3.599,-1.23580239422365
16.0,15.5,5.9,3.61375,-1.28227832540939
16.0,15.5,5.9,3.6285,-1.32953851729854
16.0,15.5,5.9,3.64325,-1.37737773630678
16.0,15.5,5.9,3.658,-1.42555631224433
16.0,15.5,5.9,3.67275,-1.47379942865227
16.0,15.5,5.9,3.6875,-1.52179743706905
16.0,15.5,5.9,3.70225,-1.56920742409345
16.0,15.5,5.9,3.717,-1.61565623992941
16.0,15.5,5.9,3.73175,-1.66074515262165
16.0,15.5,5.9,3.7465,-1.70405622021023
16.0,15.5,5.9,3.76125,-1.74516037301564
16.0,15.5,5.9,3.776,-1.78362707349998
16.0,15.5,5.9,3.79075,-1.81903527958154
16.0,15.5,5.9,3.8055,-1.85098529169025
16.0,15.5,5.9,3.82025,-1.87911093107217
16.0,15.5,5.9,3.835,-1.90309139583564
16.0,15.5,5.9,3.84975,-1.92266209011189
16.0,15.5,5.9,3.8645,-1.93762373426574
16.0,15.5,5.9,3.87925,-1.94784914644298
16.0,15.5,5.9,3.894,-1.953287234047
16.0,15.5,5.9,3.90875,-1.95396393381022
16.0,15.5,5.9,3.9235,-1.94998006820583
16.0,15.5,5.9,3.93825,-1.94150631642619
16.0,15.5,5.9,3.953,-1.92877570244114
16.0,15.5,5.9,3.96775,-1.91207415797287
16.0,15.5,5.9,3.9825,-1.89172981026524
16.0,15.5,5.9,3.99725,-1.86810166908637
16.0,15.5,5.9,4.012,-1.84156834992781
16.0,15.5,5.9,4.02675,-1.8125173837015
16.0,15.5,5.9,4.0415,-1.78133554441511
16.0,15.5,5.9,4.05625,-1.74840049317965
16.0,15.5,5.9,4.071,-1.7140739053718
16.0,15.5,5.9,4.08575,-1.67869613000078
16.0,15.5,5.9,4.1005,-1.64258233401475
16.0,15.5,5.9,4.11525,-1.60602001283519
16.0,15.5,5.9,4.13,-1.56926770171481
16.0,15.5,5.9,4.14475,-1.53255469798506
16.0,15.5,5.9,4.1595,-1.49608159787974
16.0,15.5,5.9,4.17425,-1.46002145886124
16.0,15.5,5.9,4.189,-1.42452141484536
16.0,15.5,5.9,4.20375,-1.38970459358487
16.0,15.5,5.9,4.2185,-1.35567220965563
16.0,15.5,5.9,4.23325,-1.32250573071042
16.0,15.5,5.9,4.248,-1.29026903738058
16.0,15.5,5.9,4.26275,-1.25901051748523
16.0,15.5,5.9,4.2775,-1.22876505260576
16.0,15.5,5.9,4.29225,-1.19955586949722
16.0,15.5,5.9,4.307,-1.1713962403721
16.0,15.5,5.9,4.32175,-1.14429102507397
16.0,15.5,5.9,4.3365,-1.11823805490167
16.0,15.5,5.9,4.35125,-1.09322936270629
16.0,15.5,5.9,4.366,-1.06925226721442
16.0,15.5,5.9,4.38075,-1.04629032164826
16.0,15.5,5.9,4.3955,-1.02432413789392
16.0,15.5,5.9,4.41025,-1.00333209794921
16.0,15.5,5.9,4.425,-0.983290964352179
16.0,15.5,5.9,4.43975,-0.964176400907725
16.0,15.5,5.9,4.4545,-0.945963414411183
16.0,15.5,5.9,4.46925,-0.92862672730835
16.0,15.5,5.9,4.484,-0.912141090399019
16.0,15.5,5.9,4.49875,-0.896481543836886
16.0,15.5,5.9,4.5135,-0.881623633837299
16.0,15.5,5.9,4.52825,-0.867543591700085
16.0,15.5,5.9,4.543,-0.85421848100249
16.0,15.5,5.9,4.55775,-0.841626318125893
16.0,15.5,5.9,4.5725,-0.829746170653384
16.0,15.5,5.9,4.58725,-0.818558237614202
16.0,15.5,5.9,4.602,-0.80804391505378
16.0,15.5,5.9,4.61675,-0.798185849971935
16.0,15.5,5.9,4.6315,-0.788967985292512
16.0,15.5,5.9,4.64625,-0.780375598201489
16.0,15.5,5.9,4.661,-0.772395333912667
16.0,15.5,5.9,4.67575,-0.765015236686595
16.0,15.5,5.9,4.6905,-0.758224779735253
16.0,15.5,5.9,4.70525,-0.752014895488567
16.0,15.5,5.9,4.72,-0.746378007576214
16.0,15.5,5.9,4.73475,-0.741308065786381
16.0,15.5,5.9,4.7495,-0.736800585200082
16.0,15.5,5.9,4.76425,-0.732852690663785
16.0,15.5,5.9,4.779,-0.729463167752853
16.0,15.5,5.9,4.79375,-0.726632521393326
16.0,15.5,5.9,4.8085,-0.724363043349362
16.0,15.5,5.9,4.82325,-0.722658889848919
16.0,15.5,5.9,4.838,-0.721526170711348
16.0,15.5,5.9,4.85275,-0.720973051459585
16.0,15.5,5.9,4.8675,-0.721009870048247
16.0,15.5,5.9,4.88225,-0.721649270020226
16.0,15.5,5.9,4.897,-0.722906352121904
16.0,15.5,5.9,4.91175,-0.72479884666553
16.0,15.5,5.9,4.9265,-0.727347309232044
16.0,15.5,5.9,4.94125,-0.730575342665752
